,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Ticket_labels,Title_labels,Embarked_labels
0,892,3,1,34.5,0,0,7.8292,0,9,1
1,893,3,0,47.0,1,0,7.0,0,10,2
2,894,2,1,62.0,0,0,9.6875,0,9,1
3,895,3,1,27.0,0,0,8.6625,0,9,2
4,896,3,0,22.0,1,1,12.2875,4,10,2
5,897,3,1,14.0,0,0,9.225,0,9,2
6,898,3,0,30.0,0,0,7.6292,0,8,1
7,899,2,1,26.0,1,1,29.0,0,9,2
8,900,3,0,18.0,0,0,7.2292,0,10,0
9,901,3,1,21.0,2,0,24.15,0,9,2
10,902,3,1,27.05,0,0,7.8958,0,9,2
11,903,1,1,46.0,0,0,26.0,0,9,2
12,904,1,0,23.0,1,0,82.2667,0,10,2
13,905,2,1,63.0,1,0,26.0,0,9,2
14,906,1,0,47.0,1,0,61.175,0,10,2
15,907,2,0,24.0,1,0,27.7208,0,2,0
16,908,2,1,35.0,0,0,12.35,0,9,1
17,909,3,1,21.0,0,0,7.225,0,9,0
18,910,3,0,27.0,1,0,7.925,4,8,2
19,911,3,0,45.0,0,0,7.225,0,5,0
20,912,1,1,55.0,1,0,59.4,0,9,0
21,913,3,1,9.0,0,1,3.1708,0,6,2
22,914,1,0,45.60606060606061,0,0,31.6833,0,10,2
23,915,1,1,21.0,0,1,61.3792,0,9,0
24,916,1,0,48.0,1,3,262.375,0,10,0
25,917,3,1,50.0,1,0,14.5,0,9,2
26,918,1,0,22.0,0,1,61.9792,0,8,0
27,919,3,1,22.5,0,0,7.225,0,9,0
28,920,1,1,41.0,0,0,30.5,0,9,2
29,921,3,1,27.05,2,0,21.6792,0,9,0
30,922,2,1,50.0,1,0,26.0,0,9,2
31,923,2,1,24.0,2,0,31.5,0,9,2
32,924,3,0,33.0,1,2,20.575,0,10,2
33,925,3,0,28.866666666666667,1,2,23.45,0,10,2
34,926,1,1,30.0,1,0,57.75,0,9,0
35,927,3,1,18.5,0,0,7.2292,0,9,0
36,928,3,0,19.872647058823528,0,0,8.05,0,8,2
37,929,3,0,21.0,0,0,8.6625,0,8,2
38,930,3,1,25.0,0,0,9.5,0,9,2
